"","X.1","source","X","Y","TreeID99","Status99","Notes99","DBH99","TreeID13","Status13","Notes13","DBH13","uid","dbh.delta"
"168",168,"Red-Tail Ridge",57.6486209675326,-102.73011486678,863,"L","leaning",12,863,"L",NA,16,171,4
"169",169,"Red-Tail Ridge",249.016869655979,123.813929560213,885,"L",NA,12,885,"L",NA,15,172,3
"170",170,"Red-Tail Ridge",189.504452888682,191.259542008409,898,"L",NA,12,898,"L",NA,15,173,3
"171",171,"Red-Tail Ridge",176.362500789991,173.961059248449,535,"L",NA,12,535,"L","Growing into crown of adjacent chestnut (?) oak",15,174,3
"172",172,"Red-Tail Ridge",399.233761355026,75.724681588095,557,"L","LOSS OF TERMINAL BUD",12,557,"L",NA,19,175,7
"173",173,"Red-Tail Ridge",-211.368268685164,206.501735962212,714,"L","BASAL SCAR; GROWING ON ROADSIDE",12,714,"L","Right on road bank",18,176,6
"174",174,"Red-Tail Ridge",45.8087482474476,208.014356897998,765,"L",NA,12,765,"L","Remeasure confirms DBH",13,177,1
"175",175,"Red-Tail Ridge",-85.7440619949892,82.2277072074823,777,"L","basal scar",12,777,"L","Heavy char",16,178,4
"176",176,"Red-Tail Ridge",198.570411292644,72.9355827408126,590,"L",NA,13,590,"D",NA,NA,179,NA
"177",177,"Red-Tail Ridge",226.178660283165,3.35839091783865,584,"L",NA,13,584,"L","Scarring, lots of resin",18,180,5
"178",178,"Red-Tail Ridge",85.5205996188503,154.282815118315,989,"L","dead top",13,989,"L","Scarring",13,181,0
"179",179,"Red-Tail Ridge",-183.966010853066,154.118347605847,719,"L",NA,13,719,"L",NA,18,182,5
"180",180,"Red-Tail Ridge",195.755549298934,226.456939789663,801,"L",NA,13,801,"L",NA,18,183,5
"181",181,"Red-Tail Ridge",-1.83780058583736,271.213531575206,809,"L",NA,13,809,"L",NA,17,184,4
"182",182,"Red-Tail Ridge",150.307284968225,207.483653122863,548,"L","In old road",13,548,"L",NA,19,185,6
"183",183,"Red-Tail Ridge",-118.671146970422,184.728253144745,733,"L",NA,13,733,"L",NA,16,186,3
