"","source","X","Y","TreeID","Year","Status","DBH","Notes"
"155","Red-Tail Ridge",119.60878596609,156.916271544878,903,1999,"L",11,NA
"156","Red-Tail Ridge",89.5972802836068,190.095463344837,996,1999,"L",11,NA
"157","Red-Tail Ridge",216.742426829542,199.03875708534,900,1999,"D",11,"BASAL SCAR; MALFORMED; dead 99"
"158","Red-Tail Ridge",215.543069285895,109.225354938568,532,1999,"L",11,"4 PACES DOWNSLOPE FROM ROAD"
"159","Red-Tail Ridge",98.9062893211803,-91.5892238896857,666,1999,"L",11,NA
"160","Red-Tail Ridge",30.0218601186938,281.899013959912,806,1999,"L",11,NA
"161","Red-Tail Ridge",237.435855521823,155.414844775921,887,1999,"L",11,NA
"162","Red-Tail Ridge",81.030965891981,152.396661927395,992,1999,"L",11,NA
"163","Red-Tail Ridge",109.986514545862,193.567851506472,997,1999,"L",11,NA
"164","Red-Tail Ridge",96.5394112788259,208.125273374155,689,1999,"L",11,NA
"165","Red-Tail Ridge",108.477923572243,209.932886097863,692,1999,"L",12,"Extensive heartrot; >10yrs but can't read rings"
"166","Red-Tail Ridge",184.76648780118,95.1246373876387,972,1999,"L",12,"dead top"
"167","Red-Tail Ridge",165.895700126628,39.4931405607778,582,1999,"L",12,NA
"168","Red-Tail Ridge",105.575710866548,204.707014620546,690,1999,"L",12,NA
"169","Red-Tail Ridge",56.7054726561549,197.444089630294,769,1999,"L",12,"Dead top"
"170","Red-Tail Ridge",57.6486209675326,-102.73011486678,863,1999,"L",12,"leaning"
"171","Red-Tail Ridge",249.016869655979,123.813929560213,885,1999,"L",12,NA
"172","Red-Tail Ridge",189.504452888682,191.259542008409,898,1999,"L",12,NA
"173","Red-Tail Ridge",176.362500789991,173.961059248449,535,1999,"L",12,NA
"174","Red-Tail Ridge",399.233761355026,75.724681588095,557,1999,"L",12,"LOSS OF TERMINAL BUD"
"175","Red-Tail Ridge",-211.368268685164,206.501735962212,714,1999,"L",12,"BASAL SCAR; GROWING ON ROADSIDE"
"176","Red-Tail Ridge",45.8087482474476,208.014356897998,765,1999,"L",12,NA
"177","Red-Tail Ridge",-85.7440619949892,82.2277072074823,777,1999,"L",12,"basal scar"
"178","Red-Tail Ridge",198.570411292644,72.9355827408126,590,1999,"L",13,NA
"179","Red-Tail Ridge",226.178660283165,3.35839091783865,584,1999,"L",13,NA
"180","Red-Tail Ridge",85.5205996188503,154.282815118315,989,1999,"L",13,"dead top"
"181","Red-Tail Ridge",-183.966010853066,154.118347605847,719,1999,"L",13,NA
"182","Red-Tail Ridge",195.755549298934,226.456939789663,801,1999,"L",13,NA
"183","Red-Tail Ridge",-1.83780058583736,271.213531575206,809,1999,"L",13,NA
"184","Red-Tail Ridge",150.307284968225,207.483653122863,548,1999,"L",13,"In old road"
"185","Red-Tail Ridge",-118.671146970422,184.728253144745,733,1999,"L",13,NA
"186","Red-Tail Ridge",38.8198180928991,239.393218756851,745,1999,"L",13,NA
"187","Red-Tail Ridge",478.212202420605,-8.18350606275085,504,1999,"L",13,NA
"188","Red-Tail Ridge",56.547003581916,213.452263943938,763,1999,"L",14,"Pith rotten only--fire??"
"189","Red-Tail Ridge",293.505563990844,77.127734950851,529,1999,"L",14,"ON OLD ROAD"
"190","Red-Tail Ridge",151.14767152834,78.4124434047381,649,1999,"L",14,NA
"191","Red-Tail Ridge",147.539429271303,-28.1452804267087,586,1999,"L",14,"leaning"
"192","Red-Tail Ridge",186.60667048665,-78.1322307562695,635,1999,"L",14,NA
"193","Red-Tail Ridge",35.2774286196865,202.955701068301,758,1999,"L",14,NA
"194","Red-Tail Ridge",61.5179510083509,-61.5186289162408,934,1999,"L",14,NA
"195","Red-Tail Ridge",148.999470260319,164.525366425321,540,1999,"L",14,NA
"196","Red-Tail Ridge",428.167480477969,182.280307393952,702,1999,"L",14,NA
"197","Red-Tail Ridge",183.771443624055,24.5197167261552,577,1999,"L",14,NA
"198","Red-Tail Ridge",149.015114279802,-24.4027809107376,589,1999,"L",14,NA
"199","Red-Tail Ridge",-199.806600421323,199.912556139899,712,1999,"L",14,NA
"200","Red-Tail Ridge",281.810885004238,138.385461227552,883,1999,"L",15,NA
"201","Red-Tail Ridge",233.607235238333,-64.5912477072843,627,1999,"L",15,NA
"202","Red-Tail Ridge",-185.782403592909,161.820619764014,718,1999,"L",15,NA
"203","Red-Tail Ridge",212.943745945972,186.513845782704,893,1999,"L",15,NA
"204","Red-Tail Ridge",128.651886683465,140.45947953374,907,1999,"L",15,NA
"205","Red-Tail Ridge",-13.7514451795839,-25.6458136052046,960,1999,"L",15,NA
"206","Red-Tail Ridge",158.894804224358,174.956423082022,545,1999,"L",15,NA
"207","Red-Tail Ridge",97.1559630377992,-54.2992527222778,671,1999,"L",15,NA
"208","Red-Tail Ridge",60.0186671684913,-92.4218566753442,866,1999,"L",15,"leaning"
"209","Red-Tail Ridge",315.00813476473,175.648246441872,878,1999,"L",15,NA
"210","Red-Tail Ridge",203.882533766092,190.894322893713,897,1999,"L",15,NA
"211","Red-Tail Ridge",97.1241226216169,147.446394039881,977,1999,"L",15,NA
