"MC","Timestep","ClassCode","CTCode","CTAbbr","SSCode","SSAbbr","Area"
1,22,"215012","5012","NaPgr",21,"OHB",.3
1,22,"235074","5074","JuNbu",23,"CLS",0
1,23,"211004","1004","GrFrb",21,"OHB",5.1
1,23,"245013","5013","ArVth",24,"OLS",9.8
1,23,"235013","5013","ArVth",23,"CLS",15.7
1,23,"233004","3004","JuSwg",23,"CLS",16.5
1,23,"113004","3004","JuSwg",11,"SIW",19.8
1,23,"142025","2025","JuWsi",14,"YMW",26.3
1,23,"152025","2025","JuWsi",15,"OMW",6.2
1,23,"214021","4021","NaFor",21,"OHB",.3
1,23,"215012","5012","NaPgr",21,"OHB",.3
1,23,"235074","5074","JuNbu",23,"CLS",0
1,24,"211004","1004","GrFrb",21,"OHB",4.9
1,24,"245013","5013","ArVth",24,"OLS",10.2
1,24,"235013","5013","ArVth",23,"CLS",15.7
1,24,"233004","3004","JuSwg",23,"CLS",14.9
1,24,"113004","3004","JuSwg",11,"SIW",20.4
1,24,"142025","2025","JuWsi",14,"YMW",27
1,24,"152025","2025","JuWsi",15,"OMW",6.2
1,24,"214021","4021","NaFor",21,"OHB",.3
1,24,"215012","5012","NaPgr",21,"OHB",.4
1,24,"235074","5074","JuNbu",23,"CLS",0
1,25,"211004","1004","GrFrb",21,"OHB",5.2
1,25,"245013","5013","ArVth",24,"OLS",10.7
1,25,"235013","5013","ArVth",23,"CLS",15.6
1,25,"233004","3004","JuSwg",23,"CLS",14
1,25,"113004","3004","JuSwg",11,"SIW",20.1
1,25,"142025","2025","JuWsi",14,"YMW",27.3
1,25,"152025","2025","JuWsi",15,"OMW",6.2
1,25,"214021","4021","NaFor",21,"OHB",.5
1,25,"215012","5012","NaPgr",21,"OHB",.3
1,25,"235074","5074","JuNbu",23,"CLS",.1
1,26,"211004","1004","GrFrb",21,"OHB",5.2
1,26,"245013","5013","ArVth",24,"OLS",10.5
1,26,"235013","5013","ArVth",23,"CLS",16.1
1,26,"233004","3004","JuSwg",23,"CLS",12.7
1,26,"113004","3004","JuSwg",11,"SIW",20.2
1,26,"142025","2025","JuWsi",14,"YMW",28.2
1,26,"152025","2025","JuWsi",15,"OMW",6.2
1,26,"214021","4021","NaFor",21,"OHB",.4
1,26,"215012","5012","NaPgr",21,"OHB",.4
1,26,"235074","5074","JuNbu",23,"CLS",.1
1,27,"211004","1004","GrFrb",21,"OHB",5.4
1,27,"245013","5013","ArVth",24,"OLS",10
1,27,"235013","5013","ArVth",23,"CLS",16.6
1,27,"233004","3004","JuSwg",23,"CLS",11.8
1,27,"113004","3004","JuSwg",11,"SIW",20
1,27,"142025","2025","JuWsi",14,"YMW",29
1,27,"152025","2025","JuWsi",15,"OMW",6.2
1,27,"214021","4021","NaFor",21,"OHB",.5
1,27,"215012","5012","NaPgr",21,"OHB",.4
1,27,"235074","5074","JuNbu",23,"CLS",.1
1,28,"211004","1004","GrFrb",21,"OHB",5.1
1,28,"245013","5013","ArVth",24,"OLS",9.6
1,28,"235013","5013","ArVth",23,"CLS",17.4
1,28,"233004","3004","JuSwg",23,"CLS",11
1,28,"113004","3004","JuSwg",11,"SIW",19.5
1,28,"142025","2025","JuWsi",14,"YMW",30.2
1,28,"152025","2025","JuWsi",15,"OMW",6.2
1,28,"214021","4021","NaFor",21,"OHB",.5
1,28,"215012","5012","NaPgr",21,"OHB",.4
1,28,"235074","5074","JuNbu",23,"CLS",.1
1,29,"211004","1004","GrFrb",21,"OHB",4.9
1,29,"245013","5013","ArVth",24,"OLS",9.7
1,29,"235013","5013","ArVth",23,"CLS",17.7
1,29,"233004","3004","JuSwg",23,"CLS",9.8
1,29,"113004","3004","JuSwg",11,"SIW",19.9
1,29,"142025","2025","JuWsi",14,"YMW",30.6
1,29,"152025","2025","JuWsi",15,"OMW",6.3
1,29,"214021","4021","NaFor",21,"OHB",.5
1,29,"215012","5012","NaPgr",21,"OHB",.5
1,29,"235074","5074","JuNbu",23,"CLS",.1
1,30,"211004","1004","GrFrb",21,"OHB",5
1,30,"245013","5013","ArVth",24,"OLS",9.4
1,30,"235013","5013","ArVth",23,"CLS",18
1,30,"233004","3004","JuSwg",23,"CLS",8.9
1,30,"113004","3004","JuSwg",11,"SIW",19.9
1,30,"142025","2025","JuWsi",14,"YMW",31.2
1,30,"152025","2025","JuWsi",15,"OMW",6.3
1,30,"214021","4021","NaFor",21,"OHB",.7
1,30,"215012","5012","NaPgr",21,"OHB",.5
1,30,"235074","5074","JuNbu",23,"CLS",.1
1,31,"211004","1004","GrFrb",21,"OHB",5.3
1,31,"245013","5013","ArVth",24,"OLS",8.7
1,31,"235013","5013","ArVth",23,"CLS",7.9
1,31,"233004","3004","JuSwg",23,"CLS",18.5
1,31,"113004","3004","JuSwg",11,"SIW",20.1
1,31,"142025","2025","JuWsi",14,"YMW",31.9
1,31,"152025","2025","JuWsi",15,"OMW",6.3
1,31,"214021","4021","NaFor",21,"OHB",.7
1,31,"215012","5012","NaPgr",21,"OHB",.5
1,31,"235074","5074","JuNbu",23,"CLS",.1
1,32,"211004","1004","GrFrb",21,"OHB",5.3
1,32,"245013","5013","ArVth",24,"OLS",8.7
1,32,"235013","5013","ArVth",23,"CLS",6.9
1,32,"233004","3004","JuSwg",23,"CLS",18.9
1,32,"113004","3004","JuSwg",11,"SIW",19.9
1,32,"142025","2025","JuWsi",14,"YMW",32.6
1,32,"152025","2025","JuWsi",15,"OMW",6.4
1,32,"214021","4021","NaFor",21,"OHB",.7
1,32,"215012","5012","NaPgr",21,"OHB",.3
1,32,"235074","5074","JuNbu",23,"CLS",.3
1,33,"211004","1004","GrFrb",21,"OHB",5
1,33,"245013","5013","ArVth",24,"OLS",8.7
1,33,"235013","5013","ArVth",23,"CLS",5.9
1,33,"233004","3004","JuSwg",23,"CLS",19.5
1,33,"113004","3004","JuSwg",11,"SIW",19.6
1,33,"142025","2025","JuWsi",14,"YMW",33.5
1,33,"152025","2025","JuWsi",15,"OMW",6.4
1,33,"214021","4021","NaFor",21,"OHB",.8
1,33,"215012","5012","NaPgr",21,"OHB",.3
1,33,"235074","5074","JuNbu",23,"CLS",.3
1,34,"211004","1004","GrFrb",21,"OHB",5
1,34,"245013","5013","ArVth",24,"OLS",7.8
1,34,"235013","5013","ArVth",23,"CLS",6.1
1,34,"233004","3004","JuSwg",23,"CLS",20
1,34,"113004","3004","JuSwg",11,"SIW",19.3
1,34,"142025","2025","JuWsi",14,"YMW",33.8
1,34,"152025","2025","JuWsi",15,"OMW",6.5
1,34,"214021","4021","NaFor",21,"OHB",.8
1,34,"215012","5012","NaPgr",21,"OHB",.3
1,34,"235074","5074","JuNbu",23,"CLS",.4
1,35,"211004","1004","GrFrb",21,"OHB",4.4
1,35,"245013","5013","ArVth",24,"OLS",7.6
1,35,"235013","5013","ArVth",23,"CLS",6.6
1,35,"233004","3004","JuSwg",23,"CLS",19.4
1,35,"113004","3004","JuSwg",11,"SIW",19.8
1,35,"142025","2025","JuWsi",14,"YMW",34.1
1,35,"152025","2025","JuWsi",15,"OMW",6.5
1,35,"214021","4021","NaFor",21,"OHB",.7
1,35,"215012","5012","NaPgr",21,"OHB",.5
1,35,"235074","5074","JuNbu",23,"CLS",.4
1,36,"211004","1004","GrFrb",21,"OHB",4.3
1,36,"245013","5013","ArVth",24,"OLS",7.3
1,36,"235013","5013","ArVth",23,"CLS",7.3
1,36,"233004","3004","JuSwg",23,"CLS",18.2
1,36,"113004","3004","JuSwg",11,"SIW",19.9
