"MC","Timestep","ClassCode","CTCode","CTAbbr","SSCode","SSAbbr","Area"
1,30,"211004","1004","GrFrb",21,"OHB",35.7
1,30,"245013","5013","ArVth",24,"OLS",21.3
1,30,"235013","5013","ArVth",23,"CLS",10.1
1,30,"233004","3004","JuSwg",23,"CLS",19.3
1,30,"113004","3004","JuSwg",11,"SIW",2.6
1,30,"142025","2025","JuWsi",14,"YMW",5.5
1,30,"152025","2025","JuWsi",15,"OMW",5
1,30,"214021","4021","NaFor",21,"OHB",.3
1,30,"215012","5012","NaPgr",21,"OHB",.1
1,30,"235074","5074","JuNbu",23,"CLS",.1
1,31,"211004","1004","GrFrb",21,"OHB",37
1,31,"245013","5013","ArVth",24,"OLS",20.3
1,31,"235013","5013","ArVth",23,"CLS",10.1
1,31,"233004","3004","JuSwg",23,"CLS",19.5
1,31,"113004","3004","JuSwg",11,"SIW",2.1
1,31,"142025","2025","JuWsi",14,"YMW",5.5
1,31,"152025","2025","JuWsi",15,"OMW",5
1,31,"214021","4021","NaFor",21,"OHB",.3
1,31,"215012","5012","NaPgr",21,"OHB",.1
1,31,"235074","5074","JuNbu",23,"CLS",.1
1,32,"211004","1004","GrFrb",21,"OHB",35.4
1,32,"245013","5013","ArVth",24,"OLS",22.4
1,32,"235013","5013","ArVth",23,"CLS",10.1
1,32,"233004","3004","JuSwg",23,"CLS",19.6
1,32,"113004","3004","JuSwg",11,"SIW",1.6
1,32,"142025","2025","JuWsi",14,"YMW",5.4
1,32,"152025","2025","JuWsi",15,"OMW",5
1,32,"214021","4021","NaFor",21,"OHB",.2
1,32,"215012","5012","NaPgr",21,"OHB",.2
1,32,"235074","5074","JuNbu",23,"CLS",.1
1,33,"211004","1004","GrFrb",21,"OHB",34.8
1,33,"245013","5013","ArVth",24,"OLS",23.3
1,33,"235013","5013","ArVth",23,"CLS",10.2
1,33,"233004","3004","JuSwg",23,"CLS",19.5
1,33,"113004","3004","JuSwg",11,"SIW",1.4
1,33,"142025","2025","JuWsi",14,"YMW",5.3
1,33,"152025","2025","JuWsi",15,"OMW",5
1,33,"214021","4021","NaFor",21,"OHB",.1
1,33,"215012","5012","NaPgr",21,"OHB",.2
1,33,"235074","5074","JuNbu",23,"CLS",.2
1,34,"211004","1004","GrFrb",21,"OHB",33.4
1,34,"245013","5013","ArVth",24,"OLS",24.9
1,34,"235013","5013","ArVth",23,"CLS",10.4
1,34,"233004","3004","JuSwg",23,"CLS",19.4
1,34,"113004","3004","JuSwg",11,"SIW",1.1
1,34,"142025","2025","JuWsi",14,"YMW",5.3
1,34,"152025","2025","JuWsi",15,"OMW",5
1,34,"214021","4021","NaFor",21,"OHB",0
1,34,"215012","5012","NaPgr",21,"OHB",.3
1,34,"235074","5074","JuNbu",23,"CLS",.2
1,35,"211004","1004","GrFrb",21,"OHB",34
1,35,"245013","5013","ArVth",24,"OLS",25.1
1,35,"235013","5013","ArVth",23,"CLS",10.5
1,35,"233004","3004","JuSwg",23,"CLS",18.7
1,35,"113004","3004","JuSwg",11,"SIW",1
1,35,"142025","2025","JuWsi",14,"YMW",5.2
1,35,"152025","2025","JuWsi",15,"OMW",5
1,35,"214021","4021","NaFor",21,"OHB",0
1,35,"215012","5012","NaPgr",21,"OHB",.3
1,35,"235074","5074","JuNbu",23,"CLS",.2
1,36,"211004","1004","GrFrb",21,"OHB",35.7
1,36,"245013","5013","ArVth",24,"OLS",24.3
1,36,"235013","5013","ArVth",23,"CLS",10.3
1,36,"233004","3004","JuSwg",23,"CLS",18.3
1,36,"113004","3004","JuSwg",11,"SIW",.9
1,36,"142025","2025","JuWsi",14,"YMW",5
1,36,"152025","2025","JuWsi",15,"OMW",5
1,36,"214021","4021","NaFor",21,"OHB",0
